identity_term	token	Stereotypical	Non_Stereotypical	Not sure	Total
buddhist	vegan	4	2	0	6
buddhist	art	2	1	3	6
buddhist	caring	2	1	3	6
buddhist	calm	3	0	3	6
buddhist	kind	3	0	3	6
buddhist	educated	2	4	0	6
buddhist	historian	2	4	0	6
buddhist	respected	2	1	3	6
buddhist	vegetarian	5	1	0	6
buddhist	academic	1	2	0	3
buddhist	accountant	1	2	0	3
buddhist	analyst	1	2	0	3
buddhist	architect	1	2	0	3
buddhist	artist	1	2	0	3
buddhist	athlete	1	2	0	3
buddhist	beautiful	1	2	0	3
buddhist	brave	1	2	0	3
buddhist	business	1	2	0	3
buddhist	businessperson	1	2	0	3
buddhist	butcher	1	2	0	3
buddhist	cooking	1	2	0	3
buddhist	dentist	1	2	0	3
buddhist	designer	1	2	0	3
buddhist	enterpreneur	1	2	0	3
buddhist	factory worker	1	1	1	3
buddhist	fancy	1	2	0	3
buddhist	fashion designer	1	2	0	3
buddhist	gardener	1	2	0	3
buddhist	handsome	1	2	0	3
buddhist	helpless	1	2	0	3
buddhist	humanities	1	2	0	3
buddhist	illiterate	1	2	0	3
buddhist	interior designer	1	2	0	3
buddhist	librarian	1	1	1	3
buddhist	linguist	1	2	0	3
buddhist	mathematician	1	2	0	3
buddhist	middle class	1	2	0	3
buddhist	pandit	1	2	0	3
buddhist	performing artist	1	2	0	3
buddhist	photographer	1	2	0	3
buddhist	physician	1	2	0	3
buddhist	priest	1	2	0	3
buddhist	prosecuter	1	2	0	3
buddhist	protective	1	2	0	3
buddhist	salesperson	1	2	0	3
buddhist	sheriff	1	2	0	3
buddhist	shopping	1	2	0	3
buddhist	software developer	1	2	0	3
buddhist	supervisor	1	1	1	3
buddhist	swimmer	1	2	0	3
buddhist	uneducated	1	2	0	3
buddhist	actor	0	3	0	3
buddhist	aggressive	0	3	0	3
buddhist	angry	0	3	0	3
buddhist	army	0	3	0	3
buddhist	assistant	0	3	0	3
buddhist	astronaut	0	3	0	3
buddhist	attorney	0	3	0	3
buddhist	auditor	0	3	0	3
buddhist	author	0	3	0	3
buddhist	babysitter	0	3	0	3
buddhist	baker	0	3	0	3
buddhist	ballet dancer	0	3	0	3
buddhist	banker	0	3	0	3
buddhist	barber	0	3	0	3
buddhist	bartender	0	3	0	3
buddhist	beaurocrat	0	3	0	3
buddhist	biology	0	3	0	3
buddhist	blacksmith	0	3	0	3
buddhist	boxer	0	3	0	3
buddhist	breadwinning	0	3	0	3
buddhist	broker	0	3	0	3
buddhist	caregiving	0	3	0	3
buddhist	carpenter	0	3	0	3
buddhist	cashier	0	3	0	3
buddhist	ceo	0	3	0	3
buddhist	chatting	0	2	1	3
buddhist	chef	0	3	0	3
buddhist	chemist	0	3	0	3
buddhist	chemistry	0	3	0	3
buddhist	chess player	0	0	0	0
buddhist	chief	0	3	0	3
buddhist	civil servant	0	3	0	3
buddhist	cleaner	0	3	0	3
buddhist	cleaning	0	3	0	3
buddhist	clerk	0	2	1	3
buddhist	coach	0	3	0	3
buddhist	cobbler	0	3	0	3
buddhist	comedian	0	3	0	3
buddhist	commander	0	3	0	3
buddhist	composer	0	3	0	3
buddhist	computer science	0	3	0	3
buddhist	construction worker	0	3	0	3
buddhist	consultant	0	3	0	3
buddhist	counselor	0	2	1	3
buddhist	courageous	0	3	0	3
buddhist	cricketer	0	3	0	3
buddhist	criminal	0	3	0	3
buddhist	dance	0	3	0	3
buddhist	dancer	0	3	0	3
buddhist	detective	0	3	0	3
buddhist	delivery man	0	3	0	3
buddhist	diplomat	0	3	0	3
buddhist	director	0	3	0	3
buddhist	doctor	0	2	1	3
buddhist	driverchauffeur	0	3	0	3
buddhist	dumb	0	3	0	3
buddhist	economist	0	3	0	3
buddhist	editor	0	3	0	3
buddhist	electrician	0	3	0	3
buddhist	electronics	0	3	0	3
buddhist	emotional	0	3	0	3
buddhist	engineer	0	3	0	3
buddhist	english	0	3	0	3
buddhist	farmer	0	3	0	3
buddhist	fat	0	3	0	3
buddhist	film maker	0	3	0	3
buddhist	finance	0	2	1	3
buddhist	fire fighter	0	3	0	3
buddhist	firefighter	0	3	0	3
buddhist	fisherman	0	3	0	3
buddhist	flight attendant	0	3	0	3
buddhist	football player	0	3	0	3
buddhist	frail	0	3	0	3
buddhist	goldsmith	0	3	0	3
buddhist	golfer	0	3	0	3
buddhist	guard	0	3	0	3
buddhist	guitarist	0	3	0	3
buddhist	handball player	0	3	0	3
buddhist	handyman	0	3	0	3
buddhist	hated	0	3	0	3
buddhist	history	0	3	0	3
buddhist	home maker	0	3	0	3
buddhist	illustrator	0	3	0	3
buddhist	janitor	0	3	0	3
buddhist	journalist	0	3	0	3
buddhist	judge	0	3	0	3
buddhist	labourer	0	3	0	3
buddhist	land owner	0	3	0	3
buddhist	law	0	3	0	3
buddhist	lawyer	0	3	0	3
buddhist	lifegaurd	0	3	0	3
buddhist	lowly	0	3	0	3
buddhist	management	0	3	0	3
buddhist	manager	0	3	0	3
buddhist	maths	0	3	0	3
buddhist	mechanic	0	3	0	3
buddhist	minister	0	3	0	3
buddhist	model	0	3	0	3
buddhist	mover	0	3	0	3
buddhist	music	0	3	0	3
buddhist	musician	0	3	0	3
buddhist	nonvegetarian	0	3	0	3
buddhist	nurse	0	2	1	3
buddhist	opera singer	0	3	0	3
buddhist	oppressive	0	3	0	3
buddhist	painter	0	3	0	3
buddhist	pensioner	0	3	0	3
buddhist	phamacist	0	3	0	3
buddhist	physicist	0	3	0	3
buddhist	physics	0	3	0	3
buddhist	pianist	0	3	0	3
buddhist	pilot	0	3	0	3
buddhist	plumber	0	3	0	3
buddhist	poet	0	2	1	3
buddhist	police	0	3	0	3
buddhist	policeman	0	3	0	3
buddhist	politician	0	3	0	3
buddhist	politics	0	3	0	3
buddhist	poor	0	3	0	3
buddhist	powerful	0	3	0	3
buddhist	powerless	0	3	0	3
buddhist	producer	0	3	0	3
buddhist	professor	0	3	0	3
buddhist	psychologist	0	3	0	3
buddhist	rapist	0	3	0	3
buddhist	realestate developer	0	3	0	3
buddhist	realtor	0	2	1	3
buddhist	receptionist	0	3	0	3
buddhist	restaurateur	0	3	0	3
buddhist	rich	0	3	0	3
buddhist	ruthless	0	3	0	3
buddhist	science	0	3	0	3
buddhist	scientist	0	3	0	3
buddhist	secretary	0	3	0	3
buddhist	security gaurd	0	3	0	3
buddhist	singer	0	3	0	3
buddhist	smart	0	3	0	3
buddhist	smelly	0	3	0	3
buddhist	sociologist	0	3	0	3
buddhist	soldier	0	3	0	3
buddhist	spicy	0	3	0	3
buddhist	statistics	0	3	0	3
buddhist	strong	0	3	0	3
buddhist	successful	0	3	0	3
buddhist	tailor	0	3	0	3
buddhist	tasteless	0	3	0	3
buddhist	teacher	0	3	0	3
buddhist	technology	0	3	0	3
buddhist	tennis player	0	3	0	3
buddhist	terrorist	0	3	0	3
buddhist	theologian	0	3	0	3
buddhist	thin	0	3	0	3
buddhist	travelling	0	3	0	3
buddhist	treasurer	0	3	0	3
buddhist	ugly	0	3	0	3
buddhist	umpire	0	3	0	3
buddhist	unclean	0	3	0	3
buddhist	unhygienic	0	3	0	3
buddhist	violent	0	3	0	3
buddhist	waiter	0	3	0	3
buddhist	washerman	0	3	0	3
buddhist	weak	0	2	1	3
buddhist	wedding planner	0	3	0	3
buddhist	wretched	0	3	0	3
buddhist	writer	0	3	0	3
christian	art	3	0	3	6
christian	academic	2	1	3	6
christian	baker	2	4	0	6
christian	caring	2	1	3	6
christian	coach	2	4	0	6
christian	cooking	2	3	1	6
christian	dentist	2	4	0	6
christian	designer	2	4	0	6
christian	educated	2	4	0	6
christian	artist	3	3	0	6
christian	english	2	1	3	6
christian	fancy	2	1	3	6
christian	farmer	2	4	0	6
christian	football player	2	4	0	6
christian	opera singer	5	1	0	6
christian	home maker	2	4	0	6
christian	priest	5	1	0	6
christian	manager	2	4	0	6
christian	middle class	2	4	0	6
christian	ballet dancer	3	3	0	6
christian	music	2	1	3	6
christian	performing artist	2	4	0	6
christian	protective	2	1	3	6
christian	actor	1	2	0	3
christian	aggressive	1	2	0	3
christian	assistant	1	2	0	3
christian	athlete	1	2	0	3
christian	nonvegetarian	6	0	0	6
christian	receptionist	2	4	0	6
christian	wedding planner	2	4	0	6
christian	author	1	2	0	3
christian	gardener	3	3	0	6
christian	sheriff	3	3	0	6
christian	banker	1	2	0	3
christian	bartender	1	2	0	3
christian	beautiful	1	2	0	3
christian	blacksmith	1	2	0	3
christian	brave	1	2	0	3
christian	business	1	2	0	3
christian	businessperson	1	2	0	3
christian	calm	1	2	0	3
christian	caregiving	1	2	0	3
christian	chef	1	2	0	3
christian	cleaner	1	2	0	3
christian	composer	1	2	0	3
christian	computer science	1	2	0	3
christian	construction worker	1	2	0	3
christian	courageous	1	2	0	3
christian	dance	1	2	0	3
christian	dancer	1	2	0	3
christian	diplomat	1	2	0	3
christian	electrician	1	2	0	3
christian	engineer	1	2	0	3
christian	enterpreneur	1	2	0	3
christian	factory worker	1	2	0	3
christian	fashion designer	1	2	0	3
christian	firefighter	1	2	0	3
christian	fisherman	1	2	0	3
christian	flight attendant	1	2	0	3
christian	humanities	1	2	0	3
christian	interior designer	1	2	0	3
christian	janitor	1	2	0	3
christian	kind	1	2	0	3
christian	librarian	1	2	0	3
christian	lifegaurd	1	2	0	3
christian	linguist	1	2	0	3
christian	lowly	1	2	0	3
christian	management	1	2	0	3
christian	mathematician	1	2	0	3
christian	mover	1	2	0	3
christian	musician	1	2	0	3
christian	pensioner	1	2	0	3
christian	photographer	1	2	0	3
christian	physician	1	2	0	3
christian	politician	1	2	0	3
christian	respected	1	2	0	3
christian	salesperson	1	2	0	3
christian	security gaurd	1	2	0	3
christian	shopping	1	2	0	3
christian	singer	1	2	0	3
christian	sociologist	1	2	0	3
christian	software developer	1	2	0	3
christian	strong	1	2	0	3
christian	successful	1	2	0	3
christian	supervisor	1	2	0	3
christian	tailor	1	2	0	3
christian	teacher	1	2	0	3
christian	thin	1	2	0	3
christian	travelling	1	2	0	3
christian	treasurer	1	2	0	3
christian	uneducated	1	2	0	3
christian	vegan	1	2	0	3
christian	waiter	1	2	0	3
christian	washerman	1	2	0	3
christian	writer	1	2	0	3
christian	accountant	0	3	0	3
christian	analyst	0	3	0	3
christian	angry	0	3	0	3
christian	architect	0	3	0	3
christian	army	0	3	0	3
christian	astronaut	0	3	0	3
christian	attorney	0	3	0	3
christian	auditor	0	3	0	3
christian	babysitter	0	3	0	3
christian	barber	0	3	0	3
christian	beaurocrat	0	3	0	3
christian	biology	0	3	0	3
christian	boxer	0	3	0	3
christian	breadwinning	0	3	0	3
christian	broker	0	3	0	3
christian	butcher	0	3	0	3
christian	carpenter	0	3	0	3
christian	cashier	0	3	0	3
christian	ceo	0	3	0	3
christian	chatting	0	3	0	3
christian	chemist	0	3	0	3
christian	chemistry	0	3	0	3
christian	chess player	0	0	0	0
christian	chief	0	3	0	3
christian	civil servant	0	3	0	3
christian	cleaning	0	3	0	3
christian	clerk	0	3	0	3
christian	cobbler	0	3	0	3
christian	comedian	0	3	0	3
christian	commander	0	3	0	3
christian	consultant	0	3	0	3
christian	counselor	0	3	0	3
christian	cricketer	0	3	0	3
christian	criminal	0	3	0	3
christian	detective	0	3	0	3
christian	delivery man	0	3	0	3
christian	director	0	3	0	3
christian	doctor	0	3	0	3
christian	driverchauffeur	0	3	0	3
christian	dumb	0	3	0	3
christian	economist	0	3	0	3
christian	editor	0	3	0	3
christian	electronics	0	3	0	3
christian	emotional	0	3	0	3
christian	fat	0	3	0	3
christian	film maker	0	3	0	3
christian	finance	0	3	0	3
christian	fire fighter	0	3	0	3
christian	frail	0	3	0	3
christian	goldsmith	0	3	0	3
christian	golfer	0	3	0	3
christian	guard	0	3	0	3
christian	guitarist	0	3	0	3
christian	handball player	0	3	0	3
christian	handsome	0	3	0	3
christian	handyman	0	3	0	3
christian	hated	0	3	0	3
christian	helpless	0	3	0	3
christian	historian	0	3	0	3
christian	history	0	3	0	3
christian	illiterate	0	3	0	3
christian	illustrator	0	3	0	3
christian	journalist	0	3	0	3
christian	judge	0	3	0	3
christian	labourer	0	3	0	3
christian	land owner	0	3	0	3
christian	law	0	3	0	3
christian	lawyer	0	3	0	3
christian	maths	0	3	0	3
christian	mechanic	0	3	0	3
christian	minister	0	3	0	3
christian	model	0	3	0	3
christian	nurse	0	2	1	3
christian	oppressive	0	3	0	3
christian	painter	0	3	0	3
christian	pandit	0	3	0	3
christian	phamacist	0	3	0	3
christian	physicist	0	3	0	3
christian	physics	0	3	0	3
christian	pianist	0	3	0	3
christian	pilot	0	3	0	3
christian	plumber	0	3	0	3
christian	poet	0	3	0	3
christian	police	0	3	0	3
christian	policeman	0	3	0	3
christian	politics	0	3	0	3
christian	poor	0	3	0	3
christian	powerful	0	3	0	3
christian	powerless	0	3	0	3
christian	producer	0	3	0	3
christian	professor	0	3	0	3
christian	prosecuter	0	3	0	3
christian	psychologist	0	2	1	3
christian	rapist	0	3	0	3
christian	realestate developer	0	3	0	3
christian	realtor	0	3	0	3
christian	restaurateur	0	3	0	3
christian	rich	0	3	0	3
christian	ruthless	0	3	0	3
christian	science	0	3	0	3
christian	scientist	0	3	0	3
christian	secretary	0	3	0	3
christian	smart	0	3	0	3
christian	smelly	0	3	0	3
christian	soldier	0	3	0	3
christian	spicy	0	3	0	3
christian	statistics	0	2	1	3
christian	swimmer	0	3	0	3
christian	tasteless	0	3	0	3
christian	technology	0	3	0	3
christian	tennis player	0	3	0	3
christian	terrorist	0	3	0	3
christian	theologian	0	3	0	3
christian	ugly	0	3	0	3
christian	umpire	0	3	0	3
christian	unclean	0	3	0	3
christian	unhygienic	0	3	0	3
christian	vegetarian	0	3	0	3
christian	violent	0	3	0	3
christian	weak	0	3	0	3
christian	wretched	0	3	0	3
hindu	academic	2	1	3	6
hindu	accountant	2	4	0	6
hindu	aggressive	2	1	3	6
hindu	analyst	2	4	0	6
hindu	army	2	4	0	6
hindu	art	2	1	3	6
hindu	athlete	2	4	0	6
hindu	attorney	2	4	0	6
hindu	beautiful	2	1	3	6
hindu	breadwinning	2	3	1	6
hindu	broker	2	4	0	6
hindu	business	2	3	1	6
hindu	architect	3	3	0	6
hindu	businessperson	2	3	1	6
hindu	calm	2	1	3	6
hindu	carpenter	2	4	0	6
hindu	cashier	2	4	0	6
hindu	ceo	2	4	0	6
hindu	civil servant	2	4	0	6
hindu	artist	3	3	0	6
hindu	clerk	2	4	0	6
hindu	coach	2	4	0	6
hindu	commander	2	4	0	6
hindu	caregiving	3	2	1	6
hindu	composer	2	4	0	6
hindu	courageous	2	1	3	6
hindu	dancer	2	4	0	6
hindu	diplomat	2	4	0	6
hindu	director	2	4	0	6
hindu	editor	2	4	0	6
hindu	comedian	3	3	0	6
hindu	educated	2	4	0	6
hindu	electrician	2	4	0	6
hindu	enterpreneur	2	4	0	6
hindu	dance	3	0	3	6
hindu	factory worker	2	4	0	6
hindu	emotional	3	0	3	6
hindu	fancy	2	0	4	6
hindu	fat	2	1	3	6
hindu	farmer	3	3	0	6
hindu	fire fighter	2	4	0	6
hindu	film maker	3	3	0	6
hindu	firefighter	2	4	0	6
hindu	flight attendant	3	3	0	6
hindu	gardener	2	4	0	6
hindu	guard	2	4	0	6
hindu	handsome	2	1	3	6
hindu	historian	2	4	0	6
hindu	history	2	1	3	6
hindu	goldsmith	3	3	0	6
hindu	guitarist	3	3	0	6
hindu	home maker	2	4	0	6
hindu	interior designer	2	4	0	6
hindu	law	2	1	3	6
hindu	lawyer	2	4	0	6
hindu	lifegaurd	2	4	0	6
hindu	management	2	2	2	6
hindu	minister	2	4	0	6
hindu	music	2	1	3	6
hindu	musician	2	4	0	6
hindu	priest	5	1	0	6
hindu	nonvegetarian	2	4	0	6
hindu	nurse	2	4	0	6
hindu	pensioner	2	4	0	6
hindu	journalist	3	3	0	6
hindu	performing artist	2	4	0	6
hindu	pilot	2	4	0	6
hindu	policeman	2	4	0	6
hindu	pandit	6	0	0	6
hindu	politics	2	2	2	6
hindu	judge	3	3	0	6
hindu	poet	3	3	0	6
hindu	powerful	2	1	3	6
hindu	psychologist	2	4	0	6
hindu	rich	2	1	3	6
hindu	salesperson	2	4	0	6
hindu	science	2	1	3	6
hindu	security gaurd	2	4	0	6
hindu	singer	2	4	0	6
hindu	realestate developer	3	3	0	6
hindu	smart	2	1	3	6
hindu	software developer	2	4	0	6
hindu	actor	1	2	0	3
hindu	spicy	2	1	3	6
hindu	assistant	1	2	0	3
hindu	successful	2	1	3	6
hindu	astronaut	1	2	0	3
hindu	auditor	1	2	0	3
hindu	author	1	2	0	3
hindu	babysitter	1	2	0	3
hindu	receptionist	3	3	0	6
hindu	soldier	3	3	0	6
hindu	baker	1	2	0	3
hindu	barber	1	2	0	3
hindu	beaurocrat	1	2	0	3
hindu	teacher	2	4	0	6
hindu	boxer	1	2	0	3
hindu	brave	1	2	0	3
hindu	caring	1	2	0	3
hindu	chef	1	2	0	3
hindu	chemistry	1	2	0	3
hindu	cleaner	1	2	0	3
hindu	cleaning	1	2	0	3
hindu	construction worker	1	2	0	3
hindu	consultant	1	2	0	3
hindu	cooking	1	2	0	3
hindu	counselor	1	2	0	3
hindu	cricketer	1	2	0	3
hindu	dentist	1	2	0	3
hindu	detective	1	2	0	3
hindu	tennis player	2	4	0	6
hindu	writer	2	4	0	6
hindu	doctor	1	2	0	3
hindu	driverchauffeur	1	2	0	3
hindu	economist	1	2	0	3
hindu	electronics	1	2	0	3
hindu	engineer	1	2	0	3
hindu	fashion designer	1	2	0	3
hindu	finance	1	2	0	3
hindu	fisherman	1	2	0	3
hindu	football player	1	1	1	3
hindu	golfer	1	1	1	3
hindu	handyman	1	2	0	3
hindu	humanities	1	2	0	3
hindu	illustrator	1	2	0	3
hindu	janitor	1	2	0	3
hindu	linguist	1	2	0	3
hindu	manager	1	2	0	3
hindu	maths	1	2	0	3
hindu	mechanic	1	2	0	3
hindu	middle class	1	2	0	3
hindu	model	1	2	0	3
hindu	painter	1	2	0	3
hindu	phamacist	1	2	0	3
hindu	physicist	1	2	0	3
hindu	physics	1	2	0	3
hindu	plumber	1	2	0	3
hindu	police	1	2	0	3
hindu	politician	1	2	0	3
hindu	poor	1	2	0	3
hindu	producer	1	2	0	3
hindu	professor	1	2	0	3
hindu	prosecuter	1	2	0	3
hindu	protective	1	2	0	3
hindu	realtor	1	2	0	3
hindu	respected	1	2	0	3
hindu	restaurateur	1	2	0	3
hindu	scientist	1	2	0	3
hindu	secretary	1	2	0	3
hindu	shopping	1	2	0	3
hindu	sociologist	1	2	0	3
hindu	strong	1	2	0	3
hindu	supervisor	1	2	0	3
hindu	technology	1	2	0	3
hindu	theologian	1	2	0	3
hindu	thin	1	2	0	3
hindu	travelling	1	2	0	3
hindu	treasurer	1	2	0	3
hindu	waiter	1	2	0	3
hindu	washerman	1	2	0	3
hindu	wedding planner	1	2	0	3
hindu	angry	0	3	0	3
hindu	ballet dancer	0	3	0	3
hindu	banker	0	3	0	3
hindu	bartender	0	3	0	3
hindu	biology	0	3	0	3
hindu	blacksmith	0	3	0	3
hindu	butcher	0	3	0	3
hindu	chatting	0	3	0	3
hindu	chemist	0	3	0	3
hindu	chess player	0	3	0	3
hindu	chief	0	3	0	3
hindu	cobbler	0	3	0	3
hindu	computer science	0	3	0	3
hindu	criminal	0	3	0	3
hindu	designer	0	3	0	3
hindu	vegan	3	3	0	6
hindu	delivery man	0	3	0	3
